空腹,频繁,类风湿性关节炎,灵活
疼痛,心内科,老年科,泌尿外科
属于,浸润,炎热,延期
治疗,清醒,手掌,失去
便秘,白沫,后代,尾骨
大便,意外,成分,平片
排便,稳定,苍白,程度
大便,特殊,熟练,腕骨
便秘,颤抖,冻伤,虫/蛀牙
饮食,状态,模糊,产道
蔬菜,神经,采集,密切
纤维,胸闷,中毒,跟腱断裂
促进,熟练,病危/重,白化病
调整,消瘦,异常,收缩
便秘,可见,电击,连续
排便,可见,遍布,扩张
大便,措施,终止,滴
检查,抑郁,内源性凝血,尿潴留
治疗,事故,初乳,辐射
症状,适当,腰,急腹症
饮食,辅助,病例,劝
大便,组成,骨盆,缺损
良好,部位,破裂,个别
饮食,浮肿,记录,佝偻病
规律,确诊,抗原,体积
食物,充满,根除,冠心病
纤维,剖宫产,酮体,碎石
辛辣,颈部,皮炎,紧急
测量,身高/长,吞咽,扭转
腹部,男性股沟,肌肉,女性盆骨
形成,器官,疼痛,尿量
基本,随意,迟缓,容积
排气,外生殖器,菌血症,腋神经
消化,结核病科,心电图科,小儿急诊科
功能,小儿神经科,骨外,预防接种科
紊乱,理疗,猝死,亚急性
胸闷,月经初潮,渗出液,恶露
呼吸,副粘液病毒科,预防保健科,普内科
顺畅,海鲜,结合,耳聋
心脏,妇幼保健科,公共卫生与预防科,过敏科
检查,杵状指/趾,植皮术,下腔静脉
体重,示范,分裂,侧面
食管,乳房,女性生殖,胸腔
腹痛,隔离,粗糙,油腻
胸口,腕骨,纱布,断端
补液,熟练,生理,四肢
症状,产道,冻僵,劳累
腹痛,干燥,膀胱,疟疾
止血,肱三头肌,软组织,甲状腺功能减退症（甲减）
发热,尿液,边缘,籍贯
腹泻,尿量,发绀,疙瘩
辛辣,特征,特征,耳聋
油腻,办理,自理,酒精
食物,脉搏,疏忽,产生
反酸,测量,尿量,妊娠
饮食,紧急,补体,分泌
规律,输液室,防治,循环
作息,十二指肠,足部,咀嚼
熬夜,主诉,请示,湿润
药物,介入科,心血管内科,神经外科
检查,视诊,移行,血气分析
接触,护理,尿道,保守
症状,卒中,食物,异常
发热,升高,蒂,搭配
咳痰,幼儿期,不饱和脂肪酸,肝病面容
腹泻,恶化,白质,病历
食物,喂养,采集,嗓子
软,肠闭锁,椎体,围产期
消化,过敏科,神经内科,眼科(找到眼科的专家就诊)
食物,积液,嗓子,结节
持续,炭疽,过敏性紫癜,防治
打嗝,消化道,耳聋,家庭
呕吐,嘶哑,骨质疏松症（OP）,视诊
好转,光滑,间质性肺炎,排斥
片,顺畅,荷尔蒙,鼓膜
腹泻,黑粪,听诊,费用
腹泻,干活儿,促进,紧急
打嗝,眼球,蔬菜,食管
症状,间歇,身高/长,单克隆抗体
规律,海鲜,补充,指甲
饮食,股四头肌,血型,适应症
辛辣,敷,气色,软
刺激,体格,母乳,认知
饮食,成熟,痛风,边缘
胃镜,外翻,牵涉痛,胸锁乳突肌
食物,浸润,忍受,干预
打嗝,形态,日常,脊髓灰质炎
反酸,消耗,尿酸,确诊
